Date,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,Weather,Month,Weather_Label,Target_Next_Day_Label
2009-01-14,-3.14458022635112,-3.5328075309993117,0.06476331772744674,0.06194742152588936,-0.5663251087222861,-0.9348065605782663,-1.469138680640071,3.6901382538250718,,Clear,1,0,17.0
2009-01-15,-2.7853306623294802,-3.009560760464304,-0.37754990381422443,-0.40236611861071414,-0.5663251087222861,-0.8746483859138354,-1.046603847217317,3.449340536348219,,Sunny,1,17,0.0
2009-01-16,-2.354231185503512,-2.6432880210897984,-1.0410197361267313,-1.047246035467108,-0.5663251087222861,-0.6701105920547709,-1.3503007587399214,3.0279445307637265,,Clear,1,0,0.0
2009-01-17,-1.9231317086775443,-1.4921451259127816,-1.0041603009982587,-0.9698604454443407,-0.5663251087222861,-0.7904269413836323,-1.680406097351448,2.3055513783331683,,Clear,1,0,0.0
2009-01-18,-1.7794318830688882,-1.5967944800197833,-1.151598041512149,-1.047246035467108,-0.5663251087222861,-0.5738575125916816,-1.3833112926010742,1.884155372748676,,Clear,1,0,17.0
2009-01-19,-1.7794318830688882,-1.2828464176987786,-0.8935819956128408,-0.9440652487700849,-0.5663251087222861,-0.7543320365849739,-1.7332229515292923,1.282161079056544,,Sunny,1,17,17.0
2009-01-20,-1.7075819702645603,-0.8119243242172717,-1.0410197361267313,-1.150426822164131,-0.5663251087222861,-0.7062054968534293,-1.9114798343795167,0.981163932210478,,Sunny,1,17,0.0
2009-01-21,-1.2764824934385923,-1.2305217406452778,-1.1147386063836764,-1.0214508387928523,-0.5663251087222861,-0.9588698304440385,-1.58137449576799,1.0413633615796913,,Clear,1,0,13.0
2009-01-22,-0.9172329294169523,-1.1258723865382763,-1.409614087411457,-1.356788395558177,-0.5663251087222861,-0.6941738619205431,-0.4326079173998773,0.318970209149133,,Partly cloudy,1,13,13.0
2009-01-23,-1.2764824934385923,-1.5967944800197833,-1.0778791712552038,-1.0730412321413636,-0.5663251087222861,0.03975586898551237,0.5511059916624721,0.5597679266259857,,Partly cloudy,1,13,13.0
2009-01-24,-1.3483324062429203,-1.8060931882337863,-0.5618470794565874,-0.634522888679016,-0.5663251087222861,-0.16478192487355228,1.2113166688855255,1.0413633615796913,,Partly cloudy,1,13,13.0
2009-01-25,-0.7735331038082963,-1.2305217406452778,-0.8198631253558956,-0.8666796587473177,-0.5663251087222861,-0.7062054968534293,0.37284910881224775,1.1015627909489045,,Partly cloudy,1,13,17.0
2009-01-26,-0.4861334525909844,-0.7595996471637709,-1.409614087411457,-1.4083787889066886,-0.5663251087222861,-1.0190280051084692,-0.6174669070223322,1.221961649687331,,Sunny,1,17,17.0
2009-01-27,-0.9172329294169523,-1.38749577180578,-1.0041603009982587,-0.9956556421185965,-0.5663251087222861,-1.223565798967534,-1.0928185946229307,0.981163932210478,,Sunny,1,17,0.0
2009-01-28,-1.2046325806342644,-1.439820448859281,-1.0041603009982587,-0.9956556421185965,-0.5663251087222861,-1.295755608564851,-1.7002124176681397,0.7403662147336253,,Clear,1,0,0.0
2009-01-29,-0.8453830166126244,-1.2305217406452778,-0.7092848199704778,-0.8408844620730619,-0.5663251087222861,-1.39200868802794,-1.7134166312126007,0.5597679266259857,,Clear,1,0,0.0
2009-01-30,-0.7735331038082963,-0.968898355377774,-1.151598041512149,-1.2536076088611539,-0.5663251087222861,-1.1634076243031033,-1.667201883806987,0.5597679266259857,,Clear,1,0,0.0
2009-01-31,-0.9890828422212803,-0.8642490012707724,-0.4512687740711696,-0.5571372986562487,-0.5663251087222861,-1.1874708941688754,-1.8652650869739031,0.6801667853644121,,Clear,1,0,0.0
2009-02-01,-1.1327826678299364,-1.0735477094847756,-0.6355659497135326,-0.7892940687245504,-0.5663251087222861,-1.1995025291017616,-1.7134166312126007,1.282161079056544,,Clear,2,0,0.0
2009-02-02,-1.0609327550256082,-1.7014438341267848,-0.783003690227423,-0.8150892653988062,-0.5663251087222861,-1.5363883072225741,-1.5351597483623765,1.1015627909489045,,Clear,2,0,13.0
2009-02-03,-0.7016831910039684,-1.2828464176987786,-1.0410197361267313,-0.9440652487700849,-0.5663251087222861,-0.8505851160480632,-0.7429069356947123,0.981163932210478,,Partly cloudy,2,13,17.0
2009-02-04,-0.4861334525909844,-0.968898355377774,-0.6355659497135326,-0.7892940687245504,-0.5663251087222861,-0.9588698304440385,-0.9673785659505505,0.9209645028412649,,Sunny,2,17,13.0
2009-02-05,-0.6298332781996404,-1.3351710947522795,-0.783003690227423,-0.8150892653988062,-0.5663251087222861,-0.838553481115177,-0.4986289851221827,0.9209645028412649,,Partly cloudy,2,13,17.0
2009-02-06,-0.6298332781996404,-1.38749577180578,-0.5618470794565874,-0.737703675376039,-0.5663251087222861,-1.7168628312158665,-1.3767091858288436,1.1015627909489045,,Sunny,2,17,17.0
2009-02-07,-0.7016831910039684,-1.2828464176987786,-0.59870651458506,-0.737703675376039,-0.5663251087222861,-1.6326413866856633,-1.257871263928694,0.8607650734720517,,Sunny,2,17,17.0
2009-02-08,-0.4861334525909844,-0.8642490012707724,-1.2990357820260394,-1.4083787889066886,-0.5663251087222861,-1.5845148469541186,-1.356902865512152,1.1617622203181177,,Sunny,2,17,13.0
2009-02-09,-0.3424336269823284,-0.9165736783242733,-0.8935819956128408,-0.9182700520958292,-0.5663251087222861,-1.1995025291017616,-0.8089280034170178,0.981163932210478,,Partly cloudy,2,13,13.0
2009-02-10,-0.8453830166126244,-1.2828464176987786,-1.1147386063836764,-1.2536076088611539,-0.13376049936710724,-0.2129084646050969,1.4489925126858247,0.6801667853644121,,Partly cloudy,2,13,1.0
2009-02-11,-1.7794318830688882,-1.9630672193942886,-1.5939112630538201,-1.5889451656264788,-0.2138650566551034,1.0744764732137217,1.3103482704689835,0.318970209149133,,Cloudy,2,1,12.0
2009-02-12,-1.1327826678299364,-1.3351710947522795,-1.1147386063836764,-1.047246035467108,-0.11773958790950807,0.3044518375090078,1.6932704632583544,0.017973062303067017,,Overcast,2,12,13.0
2009-02-13,-0.4861334525909844,-0.4979762618962671,-1.1884574766406215,-1.2536076088611539,-0.5503041972646869,-0.29712990913529996,0.06255009051741268,-0.5238218020198517,,Partly cloudy,2,13,13.0
2009-02-14,0.08866584984363958,-0.1317035225217617,-0.7092848199704778,-0.8150892653988062,-0.27794870248550024,-0.41744625846416156,0.12857115823971801,-0.5840212313890649,,Partly cloudy,2,13,13.0
2009-02-15,-1.4920322318515762,-1.2828464176987786,-0.8198631253558956,-0.7634988720502947,-0.4381578170614925,1.0383815684150632,0.5841165255236248,-0.16262522580457256,,Partly cloudy,2,13,13.0
2009-02-16,-0.1987338013736724,-0.3410022307357648,-0.8198631253558956,-0.7634988720502947,-0.406115994146294,-0.1888451947393246,-0.04968572461050639,0.43936906788755936,,Partly cloudy,2,13,17.0
2009-02-17,0.16051576264796757,-0.288677553682264,-0.08267442278644364,-0.2733901352394354,-0.5663251087222861,-0.8265218461822909,-0.5052310918944132,0.3791696385183462,,Sunny,2,17,0.0
2009-02-18,0.44791541386527955,0.025270508638740585,-0.4881282091996422,-0.5313421019819929,-0.5663251087222861,-0.8987116557796078,0.08895851760633482,-0.22282465517378575,,Clear,2,0,0.0
2009-02-19,0.6634651522782635,-0.027054168414760184,0.7650925851684262,0.44887537163972563,-0.5663251087222861,-1.4281035928265986,-1.469138680640071,0.017973062303067017,,Clear,2,0,0.0
2009-02-20,0.44791541386527955,-0.027054168414760184,-0.37754990381422443,-0.3765709219364584,-0.5663251087222861,-1.223565798967534,-0.7627132560114039,0.6199673559951989,,Clear,2,0,0.0
